id,role,type,description,size/ratio,style line ref,source
cast_scale_lineup,character reference,composite,"Scale-registration lineup assembled only after separate approved character masters; Knot remains obscured",2048x1152,STYLE_FORMULA_v1,in-engine composite; not an identity source
equipment_scale_master,equipment reference,image,"Registered scale and semantic key sheet for Guardians packs drones exoframe and tram plus valid Bond/violet stitch ready/evaluated source-empty and persistent two-occurrence PAIR contrasts using the fixed 1.0 G ruler",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
echo_master,character master,image,"Echo orthographic front side rear neutral determined and worried expressions; compact green chameleon silhouette; no biological transformation; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
echo_rig,character runtime rig,rig,"Separated runtime Echo body/eye/hand/tail parts with pivots and expression swaps traced to echo_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of echo_master
echo_camouflage,character state,procedural,"Registered camouflage material on Echo rig with eye loose-mark hand and tool continuity controls; never a biological form or computation",responsive,STYLE_FORMULA_v1,in-engine shader/mask derived from echo_rig
echo_clamp_repair,character motion,rig animation,"Already-camouflaged Echo physically tightens the ordinary clamp while player only steadies it; Echo later independently abandons asking Blaze",8 second interruptible safe interaction,STYLE_FORMULA_v1,manual registered rig animation from echo_rig launch_clamp and clamp_tool
echo_unmask_motion_ref,motion reference,video,"Do-not-ship motion study for Echo uncamouflaging from feet upward while blocking Blaze",2.0 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
echo_unmask,character motion,rig animation,"Final registered Echo uncamouflaging from feet upward while blocking Blaze; one-shot with full silhouette and reduced-motion hold states",2.0 second runtime motion,STYLE_FORMULA_v1,manual rig animation from echo_rig informed by separately hashed echo_unmask_motion_ref
blaze_master,character master,image,"Blaze orthographic front side rear neutral launch brake-pull and cable-release expressions; red falcon; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
blaze_rig,character runtime rig,rig,"Separated runtime Blaze body/wing/talon/eye parts with pivots and expression swaps traced to blaze_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of blaze_master
bolt_master,character master,image,"Bolt orthographic front side rear tracking hauling manual-lock and stitch-extraction poses; blue wolf; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
bolt_rig,character runtime rig,rig,"Separated runtime Bolt body/head/limb/tail parts with pivots and expression swaps traced to bolt_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of bolt_master
sunny_master,character master,image,"Sunny orthographic front side rear door-open wrap handoff and support poses; golden duck; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
sunny_rig,character runtime rig,rig,"Separated runtime Sunny body/wing/hand/head parts with pivots and expression swaps traced to sunny_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of sunny_master
lulu_master,character master,image,"Lulu orthographic front side rear listening warning and bell-tracking poses; rose-pink rabbit; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
lulu_rig,character runtime rig,rig,"Separated runtime Lulu body/ear/limb/head parts with ear-direction and expression swaps traced to lulu_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of lulu_master
reya_master,character master,image,"Reya orthographic civic council poses for ending trial locking record and handing conditional token; never styled as a fifth Guardian",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
reya_rig,character runtime rig,rig,"Separated runtime Reya body/hand/head parts with civic prop anchors and expression swaps traced to reya_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of reya_master
speed_equipment_master,equipment master,image,"Registered part-correspondence sheet showing one closed Blaze Speed Pack and the same separated parts locked into its rail-running exoframe around Blaze",2048x2048 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master with blaze_master and equipment scale references
blaze_exoframe,transformation form,rig state,"Open exoframe assembled only from speed_equipment_master parts; exactly three times Blaze height and twice wingspan; Blaze small at centre",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of speed_equipment_master
blaze_transform_motion_ref,motion reference,video,"Do-not-ship motion study for closed Speed Pack unfolding around stationary Blaze without autonomous action",4.5 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
blaze_transform,transformation motion,rig animation,"Final closed Speed Pack-to-exoframe unfold with part identity continuously traceable and no autonomous movement",4.5 second runtime motion,STYLE_FORMULA_v1,manual rig animation from speed_equipment_master informed by separately hashed blaze_transform_motion_ref
blaze_brake_run,action motion,rig animation,"Blaze drives the exoframe along the already lit route and physically pulls the existing east brake",2.0 second runtime motion,STYLE_FORMULA_v1,manual registered rig animation from blaze_rig blaze_exoframe and east_brake
tavi_master,character master,image,"Young dragon Tavi orthographic neutral frightened active and relieved expressions; transparent background",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
tavi_rig,character runtime rig,rig,"Separated runtime Tavi body/wing/hand/head parts with bell seat line and cloth anchors traced to tavi_master",2048x2048 transparent atlas,STYLE_FORMULA_v1,manual registered derivative of tavi_master
tavi_trapped,character state,rig state,"Tavi visible in the rear window actively holding her physical bell; seat-mounted triangular beacon remains separate",1024x1024 transparent,STYLE_FORMULA_v1,registered state of tavi_rig
tavi_rescued,character state,rig state,"Tavi exiting the aligned tram then wrapped in dry cloth with small wings supported",1024x1024 transparent,STYLE_FORMULA_v1,registered state of tavi_rig
tavi_seat_beacon,story prop,image,"Triangular beacon physically mounted at Tavi's seat; visual mission target with no bell motion or sound source",512x512 transparent,STYLE_FORMULA_v1,gpt_image_2 with tram_master reference
tavi_bell_prop,story prop,local vector rig,"Small physical safety bell held by Tavi; audible two-rings pause two-rings source; never triangular and never treated as a navigation beacon",512x512 transparent,STYLE_FORMULA_v1,project-authored registered SVG/rig derived from tavi_master scale and material keys
tavi_bell_motion_ref,motion reference,video,"Do-not-ship motion study for Tavi ringing twice pausing and ringing twice",4.0 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
tavi_bell,character motion,rig animation,"Final registered Tavi bell loop: twice pause twice; frightened but active; loops only in safe held states",4.0 second loop,STYLE_FORMULA_v1,manual rig animation from tavi_rig and tavi_bell_prop informed by separately hashed tavi_bell_motion_ref
knot_threader,antagonist prop,image,"Obscured Knot hand holding the Threader handle with exactly six physical spools; spool 1 has lit and spent variants; Knot species not revealed",2048x2048,STYLE_FORMULA_v1,gpt_image_2 high 2K master
sabotage_conduit,story state,registered sequence,"Four temporal states: before edit; edit action moving one complete Bond; post-edit prelaunch with fixed guidance unmoved abandoned role capped override stitched violet loose tail and no pack imprint; post-Blaze-Deploy with the first Speed Pack imprint trapped at override",4 registered 1280x720 states,STYLE_FORMULA_v1,in-engine assembly from launch_override bond_overlay knot_threader and speed_equipment_master
knot_observer,antagonist state,image,"Distant obscured Knot silhouette or hand at relay monitor; no species final form face or full costume revealed",1024x1024,STYLE_FORMULA_v1,registered derivative of knot_threader
speed_pack,game object,rig state,"Closed complete Blaze Speed Pack with one continuous boundary band assembled from the same parts that become blaze_exoframe",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of speed_equipment_master
shell_equipment_master,equipment master,image,"Registered part-correspondence sheet showing one closed one-card shell blueprint pack and its same parts unfolded as one complete squat shell brace drone",2048x2048 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master with equipment scale reference
shell_pack,game object,rig state,"Closed shell blueprint pack with complete wake ring derived from shell_equipment_master",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of shell_equipment_master
shell_harness,game object,procedural,"Empty rigid two-input harness with separate left and right owned spots and a PAIR crossbar that remains after evaluation",1280x360 transparent,STYLE_FORMULA_v1,SVG plus rigged brass/card frame
shell_pair_form,transformation form,rig state,"Exactly two instances of the complete unfolded shell_equipment_master drone held apart by the persistent shell_harness PAIR; no independent generation",1280x720 composition,STYLE_FORMULA_v1,in-engine two-instance assembly from shell_equipment_master and shell_harness
shell_pair_motion_ref,motion reference,video,"Do-not-ship motion study for one shell source clearing while two complete drones unfold into opposite harness positions",9 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
shell_pair_transform,transformation motion,rig animation,"Final registered animation: one shell source clears and two complete master-derived drones unfold; source-empty and persistent PAIR holds explicit",9 second runtime motion,STYLE_FORMULA_v1,manual rig animation from shell_equipment_master and shell_harness informed by separately hashed shell_pair_motion_ref
navigation_equipment_master,equipment master,image,"Registered part-correspondence sheet showing one sealed composite Navigation Kit and the same frame shell nested-plan housing internal-Bond channel and mission-imprint display unfolded as one long brace drone",2048x2048 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master with equipment scale reference
navigation_kit,game object,rig state,"One sealed complete composite kit visibly containing frame shell nested plan internal Bond and triangular mission-imprint display",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of navigation_equipment_master
navigation_pair,game state,rig state,"Exactly two registered instances of the approved complete sealed Navigation Kit inside one persistent PAIR with source cradle empty; no independent generation",1280x720 composition,STYLE_FORMULA_v1,in-engine two-instance assembly from navigation_kit and plan_frames
navigation_copy,transformation motion,registered rig animation,"One whole closed Navigation Kit source clears and exactly two sealed complete kits appear with separate internal Bonds and beacon-imprint displays inside persistent PAIR",7 second runtime motion,STYLE_FORMULA_v1,manual registered rig animation from navigation_kit
navigation_drone_left,transformation form,rig,"Left long four-limbed non-sentient brace drone retaining its copied shell frame and mission-imprint display; follows external Tavi seat beacon",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of navigation_equipment_master
navigation_drone_right,transformation form,rig,"Separately registered right configuration with world-correct identifiers; retains the same master parts and mission-imprint display; follows external Tavi seat beacon",2048x2048 transparent,STYLE_FORMULA_v1,registered derivative of navigation_equipment_master; never mirrored at runtime
navigation_transform_left_motion_ref,motion reference,video,"Do-not-ship left-side motion study: selected kit opens follows external seat beacon and clamps while opposite kit stays unchanged",7 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
navigation_transform_right_motion_ref,motion reference,video,"Do-not-ship right-side motion study: selected kit opens follows external seat beacon and clamps while opposite kit stays unchanged",7 second reference,STYLE_FORMULA_v1,seedance1_5; do not ship
navigation_transform_left,transformation motion,rig animation,"Final registered left-side animation from approved kit/drone rigs; opposite kit and PAIR remain byte-identical",7 second runtime motion,STYLE_FORMULA_v1,manual rig animation informed by separately hashed navigation_transform_left_motion_ref
navigation_transform_right,transformation motion,rig animation,"Final registered right-side animation from approved kit/drone rigs; opposite kit and PAIR remain byte-identical",7 second runtime motion,STYLE_FORMULA_v1,manual rig animation informed by separately hashed navigation_transform_right_motion_ref
navigation_control_states,interface state,procedural,"Both-raised left-flat-right-raised right-flat-left-raised and both-flat states; selected shell clears; ready opposite remains; PAIR never disappears",responsive,STYLE_FORMULA_v1,SVG/CSS driven only by exact evaluator state
link_lens,interface object,image,"Two-point tactile Link Lens; neutral metal and white-gold glass; transparent background",1:1,STYLE_FORMULA_v1,gpt_image_2
bond_overlay,interface system,procedural,"Raised braided white-gold Bond with tactile texture; violet sabotage segment; real endpoint and same-rune lure have different physical connectivity",responsive,STYLE_FORMULA_v1,SVG/CSS generated from game state
plan_frames,interface system,procedural,"Gate input cradle boundary bands Role Spots PAIR crossbars ready rings and evaluated flat rings",responsive,STYLE_FORMULA_v1,SVG/CSS generated from exact AST state
parts_tray,interface system,procedural,"Contextual pack tray containing only currently available whole objects; never more than 25 percent of stage width",maximum 320 CSS px at 1280 stage,STYLE_FORMULA_v1,HTML/SVG generated from exact evaluator state
deploy_control,interface control,procedural,"Large raised tactile Deploy control with press travel and state ring; never exposed for non-ready term",minimum 88 CSS px,STYLE_FORMULA_v1,HTML/SVG generated from exact AST state
prompt_system,interface system,procedural,"Authored action prompt layer distinct from captions and idle help; at most 12 words across two lines; supports icon text voice sync focus and reduced motion",responsive,STYLE_FORMULA_v1,HTML/SVG driven by story/interaction state
captain_marker,story prop,image,"Blaze captain marker lit and suspension-sealed dark-for-now variants; never presented as permanently erased",2:1,STYLE_FORMULA_v1,gpt_image_2
green_formation_mark,story prop,image,"Echo's loose green formation mark as a separate physical object; unplaced in opening and carried visibly in final image",512x512 transparent,STYLE_FORMULA_v1,gpt_image_2
conditional_token,story prop,image,"Reya's separate unstamped conditional token with empty Guardian signature space and Archive condition; never styled as membership",512x512 transparent,STYLE_FORMULA_v1,gpt_image_2
plaza_sampler,story prop,local vector rig,"Small angular violet stitch sampler attached at the sabotage site; it pulses once only after Tavi exits and loops the safety line then goes cold; separate from remote Anchor frame",512x512 transparent,STYLE_FORMULA_v1,project-authored registered SVG/rig derived from sabotage_conduit and knot_threader material keys
relay_room_master,antagonist environment,image,"Remote relay room master with a monitor and fixed six-slot Anchor-frame fixture; no sampled pattern and no complete Knot form",1280x720,STYLE_FORMULA_v1,gpt_image_2 high 2K master with knot_threader reference
relay_anchor_frame,antagonist prop,rig state,"Registered Anchor-frame fixture derived from relay_room_master with Transit Anchor 1 empty then filled once only after Tavi is physically rescued; other five slots remain empty",1280x720 state,STYLE_FORMULA_v1,registered derivative of relay_room_master
tram_rescue_state,aftermath state,rig state,"Aligned two-clamp tram with rear door opening only after both clamps; Sunny hands Tavi out while navigation PAIR remains",1280x720 composition,STYLE_FORMULA_v1,in-engine assembly from registered tram character and navigation rigs
tavi_safety_line,aftermath prop,procedural,"Ordinary safety line passed by Sunny and voluntarily looped by Tavi over fully visible Echo's wrist; not a Bond",responsive,STYLE_FORMULA_v1,in-engine cord rig
blaze_marker_tap,aftermath motion,rig animation,"Blaze taps the dark-for-now captain marker; it remains under Reya's suspension clip and does not relight",3 second runtime motion,STYLE_FORMULA_v1,manual registered pose animation from blaze_rig
reya_token_handoff,aftermath motion,rig animation,"Reya locks disputed tram record then hands Echo the separate unsigned conditional token",5 second runtime motion,STYLE_FORMULA_v1,manual registered pose animation from reya_rig and echo_rig
bolt_stitch_extract,aftermath motion,rig animation,"Bolt physically extracts the angular violet stitch and reveals its westward trail without proving Echo's full account",5 second runtime motion,STYLE_FORMULA_v1,manual registered pose animation from bolt_rig
record_lock,aftermath prop,procedural,"Reya seals the disputed tram rescue record while Blaze's captain status reads suspended and the demonstration remains dark",responsive,STYLE_FORMULA_v1,SVG/CSS driven by canonical aftermath state
violet_trail,aftermath effect,procedural,"Deliberate angular violet stitch marks continue west toward Gear Forest and remain distinct from white-gold Bonds",responsive,STYLE_FORMULA_v1,in-engine path effect
knot_monitor_state,aftermath scene,rig state,"Remote relay monitor shows Echo visible beside the active Link Lens with Tavi's ordinary safety line looped on his wrist and the completed navigation PAIR still holding; Knot watches then switches monitor off",1280x720,STYLE_FORMULA_v1,in-engine assembly from relay_room_master knot_observer echo_rig link_lens tavi_safety_line and navigation result hashes
echo_departure_state,aftermath scene,rig state,"Later empty Gate Plaza: Echo retrieves then openly carries the separate loose green mark and conditional token after the Guardians toward Gear Forest; fifth socket stays dark",1280x720,STYLE_FORMULA_v1,in-engine assembly from plaza_master echo_rig blaze_rig bolt_rig sunny_rig lulu_rig green_formation_mark conditional_token formation_floor and gear_forest_far
accessibility_controls,interface control,procedural,"Mute captions replay and reduced-motion controls with shape labels focus states and at least 88 CSS px primary touch regions",responsive,STYLE_FORMULA_v1,HTML/SVG
caption_system,interface system,procedural,"Voice-synchronized captions in at most two lines with high-contrast backing and speaker identity conveyed without color alone",responsive,STYLE_FORMULA_v1,HTML/CSS
idle_help,interface system,procedural,"After roughly six idle seconds highlight only the next physical relationship through motion texture and framing; never perform or name the answer",responsive,STYLE_FORMULA_v1,HTML/SVG driven by evaluator state
music_rescue,audio,music,"Original instrumental transformation-rescue score with held-state loop and decisive final lift; no vocals",90 seconds,AUDIO_FORMULA_v1,sonilo_music
ambience_plaza,audio,ambience,"Airy civic plaza rail hum wind distant crowd and tram machinery; no music or voice",30 second loop,AUDIO_FORMULA_v1,seed_audio
sfx_bond,audio,sfx,"One tactile braided-light trace and endpoint lock sound; no music voice or ambience",2-3 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_deploy,audio,sfx,"Three-beat latch route answer and mechanical Deploy impact; no music voice or ambience",3-4 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_transform,audio,sfx,"Layered card-brass rail unfold with rising power and hard lock; no music voice or ambience",4 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_tram,audio,sfx,"Runaway rail scream brake catch steam burst and two bolt shears as isolated sequence",5 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_bell,audio,sfx,"Small clear safety bell: two rings pause two rings; no ambience",4 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_clamp,audio,sfx,"Heavy brace clamp catch followed by strained one-sided twist; no music voice or ambience",3 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_rescue,audio,sfx,"Second clamp hard lock PAIR crossbar resonance and door release; no music voice or ambience",4 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_roster_chime,audio,sfx,"Single civic roster chime with four-mark seal response and a clearly separate dim fifth-socket tail; no Deploy cadence",3 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_sabotage,audio,sfx,"Angular interrupted violet Threader lift stitch cap and loose-tail sound; explicitly distinct from rounded continuous valid-Bond sound",4 seconds,AUDIO_FORMULA_v1,seed_audio
sfx_anchor_sample,audio,sfx,"Quiet remote Transit Anchor copy then cold click after Tavi is safe; no correctness power-up or changed-rescue implication",3 seconds,AUDIO_FORMULA_v1,seed_audio
voice_story,audio,voice,"Concise voice-led story and dialogue; all mechanics remain understandable with voice muted",approximately 1700 characters,VOICE_CONFIG_v1,ElevenLabs eleven_v3 River project default pending explicit approval
