contract id,assets covered,master/dependency,final runtime specification,pivot/hitbox/timing,status,rights/do-not-ship,billable ceiling before new approval,acceptance test
C11,"equipment_scale_master; speed_equipment_master; speed_pack; blaze_exoframe","blaze_master; fixed scale chart; formal visual grammar","two 2048 px masters; scale sheet also separates Bond/stitch ready/evaluated source-empty and PAIR states; closed pack and exoframe derive from one part-correspondence master","pack drag hitbox >=80x80 CSS; Blaze center anchor remains visible",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",28 Higgsfield credits maximum across two image requests and two retries; Batch 01 zero-retry rule overrides,"all equipment follows 1.0 G ruler; semantic states read muted/grayscale at 1280x720; exoframe exactly 3x Blaze height and >=2x wingspan; every visible part traces to the closed pack"
C12,"echo_unmask_motion_ref; echo_unmask; blaze_transform_motion_ref; blaze_transform; blaze_brake_run","approved echo_rig; blaze_rig; speed_equipment_master; east_brake hashes","motion references have distinct do-not-ship IDs; finals are transparent manual rig animations from approved runtime rigs","60 fps runtime interpolation; durations 2.0/4.5/2.0 s; declared pivots; reduced-motion key holds",blocked on masters,"provider reference rights pending in rights-ledger.csv and refs never ship; local final rig lineage recorded",19.2 Higgsfield credits maximum across two Seedance 1.5 reference calls and one retry each,"reference/final hashes differ and every moving part traces to a runtime rig; no alpha fringe/pivot drift; 11-second full setup-to-action grammar passes raw capture"
C13,"shell_equipment_master; shell_pack; shell_harness; shell_pair_form","equipment_scale_master; tram_master coupling anchors","one 2048 px part-correspondence master plus procedural harness and in-engine two-instance form","pack/drop hitboxes >=80x80 CSS; source cradle registered; PAIR crossbar fixed",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",14 Higgsfield credits maximum: one image request plus one retry,"source clears; exactly two identical complete master-derived drones; PAIR remains attached; coupling stays connected"
C14,"shell_pair_motion_ref; shell_pair_transform","C13 approved master/rig hashes","reference has distinct do-not-ship ID; final is 9-second transparent manual registered rig animation","60 fps runtime interpolation; source-empty and final PAIR each held >=2 s",blocked on C13,"provider reference rights pending in rights-ledger.csv and ref never ships; local final lineage recorded",9.6 Higgsfield credits maximum: one Seedance 1.5 reference plus one retry,"reference/final hashes differ; no third source/copy; registered parts settle without drift; final brace matches C07"
C15,"navigation_equipment_master; navigation_kit; navigation_pair; navigation_drone_left; navigation_drone_right; tavi_seat_beacon","equipment_scale_master; tram_master; exact E7/E8 terms","one 2048 px Navigation part-correspondence master plus registered derivatives; pair is an in-engine two-instance assembly; seat beacon is separate","kit/drop hitboxes >=80x80 CSS; source and each copy cradle registered",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",28 Higgsfield credits maximum across two image requests and two retries,"whole sealed source clears; two and only two complete master-derived kits; seat beacon remains external and distinct from bell"
C16,"navigation_copy; navigation_transform_left_motion_ref; navigation_transform_right_motion_ref; navigation_transform_left; navigation_transform_right; navigation_control_states","C15 approved hashes; exact E8A/E9/E10/E10A states","motion references have distinct do-not-ship IDs; finals are manual registered rig animations; ready/evaluated UI is procedural","60 fps; copy 7 s; each side 7 s; one-clamp hold >=2 s; no input buffering",blocked on C15,"provider reference rights pending in rights-ledger.csv and refs never ship; local final rig lineage recorded",19.2 Higgsfield credits maximum across two Seedance 1.5 reference calls and one retry each,"reference/final hashes differ; either side first; only selected shell clears; opposite remains complete; first clamp/PAIR persist; second requires fresh release; both orders converge"
C17,"tavi_trapped; tavi_rescued; tavi_bell_prop; tavi_bell_motion_ref; tavi_bell; tavi_safety_line","tavi_rig; tram_master; tavi_seat_beacon","1024 px transparent registered character states; bell reference distinct from final manual rig motion","window/seat pivots declared; bell loop 4 s; line attaches only after door opens",blocked on C03/C06,"provider reference rights pending in rights-ledger.csv and ref never ships; final lineage inherited from verified masters",9.6 Higgsfield credits maximum for one Seedance bell reference plus one retry,"bell is audible physical prop; beacon is silent separate seat prop; rescue follows both clamps"
C18,"trial_reserve_rig; reserve_cable_cut; blaze_marker_tap; reya_token_handoff","plaza_master; echo_rig; blaze_rig; reya_rig; captain_marker; forge_rig; conditional_token; exact aftermath state","1280x720 registered rig with trial recorder four lamps and reserve cable; separate captain marker and forge inlet instantiate at registered sockets","cable endpoints fixed; tug and pull authored; marker tap 3 s; handoff 5 s",blocked on masters,"provider-output rights pending verification in rights-ledger.csv; local derivative lineage recorded; no ship before evidence",14 Higgsfield credits maximum for one GPT Image 2 prop master plus one retry,"no baked duplicate marker/forge; cable power changes no term; lamps stay dark for ended trial; marker suspended; token unsigned and separate"
C19,"relay_room_master; relay_anchor_frame; violet_trail; bolt_stitch_extract; knot_monitor_state; echo_departure_state","plaza_master; knot_observer; bolt_rig; echo_rig; Guardian rig hashes; link_lens; tavi_safety_line; green_formation_mark; conditional_token; formation_floor; gear_forest_far; persistent navigation result; exact E11 terminal state","one registered remote relay-room master plus separate monitor and Anchor states and a later empty-plaza departure; procedural violet trail","Anchor fills once after Tavi exits and loops the safety line; all coda holds >=2 s",blocked on masters,"provider-output rights pending verification in rights-ledger.csv; local derivative lineage recorded; no ship before evidence",14 Higgsfield credits maximum for one GPT Image 2 relay-room master plus one retry,"sampling happens after physical rescue and changes no rescue term; monitor includes line/Lens/result; later departure includes separate mark/token; five slots empty; Knot sees Echo beside Linkkeeper"
C20,"link_lens; plan_frames; parts_tray; deploy_control; prompt_system; accessibility_controls; caption_system; idle_help","exact evaluator/story state; STYLE_FORMULA_v1","HTML/SVG/CSS at 1280x720 and 1366x768; tray <=25 percent width; prompts distinct from captions/help","targets >=80x80 CSS; primary controls >=88x88; snap <=150 ms; release <=250 ms; one cue; prompts <=12 words/two lines",planned,"Link Lens provider-output rights pending verification in rights-ledger.csv; local procedural rights recorded; no ship before evidence",7 Higgsfield credits maximum for one Link Lens image request; all other work local,"authored clamp prompt exists; no ready control for non-ready term; drag stays attached; idle help never acts; captions mute focus and reduced motion pass"
C21,"music_rescue; ambience_plaza; sfx_bond; sfx_deploy; sfx_transform; sfx_tram; sfx_bell; sfx_clamp; sfx_rescue; sfx_roster_chime; sfx_sabotage; sfx_anchor_sample","approved locked picture and cue sheet; AUDIO_FORMULA_v1","48 kHz 24-bit masters plus web delivery encodes; stems isolated; loop points declared","sample-accurate cue markers; mono fold-down; no essential audio-only fact",planned; no audio approval,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence or approval; no reference audio ships",23 Higgsfield credits maximum for reported batch including one retry per cue,"sabotage is angular and distinct from valid Bond; Anchor cue occurs only post-rescue and sounds non-evaluative; no clipping; captions sync; small-speaker/mono; held loops gapless; mute preserves mechanics"
C22,"voice_story","approved final line/caption manifest; River voice ID SAz9YHcvj6GT2YYXdXww","ElevenLabs eleven_v3 neutral American; isolated 48 kHz master and line-level delivery files","line IDs timings pronunciation expression tags caption IDs and pickup status required",planned; separate explicit voice approval required,"provider-output rights pending verification in rights-ledger.csv; no request or ship before evidence/approval",TBD must be reported before request,"every line matched to caption; no required reading; voice muted run remains mechanically and emotionally legible"
C23,"keyart_title","approved plaza tram Echo green-mark Bond and violet-stitch master hashes","1280x720 in-engine start-screen composition with one primary Play action; no independent beauty generation","Play >=88x88 CSS; focus and touch; loads game without layout shift",blocked on masters,"local composite inherits rights only from verified masters and local-build ledger; no ship before evidence",0,"all visible elements are approved registered masters; no reference assets; one-glance subject/danger/action; cold-start gate includes this screen"
C24,"public_audience_master; public_audience_unmask","plaza_master; echo_rig; reya_rig; Guardian rig hashes; STYLE_FORMULA_v1","2048x1024 transparent low-detail audience/camera master and registered 1280x720 unmask composition","stage registration fixed; crowd/cameras noninteractive; Echo remains dominant silhouette",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",14 Higgsfield credits maximum: one GPT Image 2 high 2K request plus one retry,"public exposure reads muted/grayscale; cameras/crowd turn to Echo; no crowd hero lookalikes; no baked duplicate heroes; no independent shot generation"
