33	KUKU	[gently] डर मत, छोटू. मैं तुझे निकालता हूँ, धीरे धीरे, बस. [reassuring] देखो, देखो, कुछ नहीं होगा. तू बस थोड़ा रुक, मैं यहीं हूँ तेरे पास.
34	VESPER	[dreamily] देखो, a puppy. he is so small.
35	FURIA	[exasperated] हिंदी में, वैस्पर!
36	VESPER	[dreamily] वो कुत्ता कितना छोटा सा है.
37	KUKU	[laughs] अरे, ये तो मुझे चाट रहा है. [happily] ये तो अब मेरा दोस्त हो गया. और तू तो पूरा काला है, बिलकुल काला. मैं तुझे कालू बुलाऊँगा, ठीक है?
38	FURIA	[warmly] इसके कान तो देख, कितने नरम हैं और नीचे लटके हुए हैं.
39	KUKU	भूख लगी है, कालू? ये केला ले ले, ये सबसे अच्छा वाला है, मेरा अपना है. [puzzled] अरे, तूने खाया ही नहीं?
40	FURIA	[amused] कुत्ता केला नहीं खाता, कुकु.
41	KUKU	[warmly] अच्छा, तुझे केला पसंद नहीं. फिर मैं तेरे लिए कुछ और ढूँढूँगा, कालू. देख, अब तू मेरे ही पास रहेगा.
42	KUKU	[whispering] कालू, नीचे आ जा, धीरे. बिलकुल चुप रह, पापा अभी अंदर ही हैं. [exasperated] अरे, तू फिर कूद गया. इतना मत कूद, कालू, गिर जाएगा.
43	FURIA	[briskly] सुन, कालू का बिस्तर यहाँ बनाते हैं, इस कंबल पर. मैं सबसे तेज़ बना दूँगी.
44	KUKU	[exasperated] नहीं नहीं, कीचड़ में मत लोट. अभी अभी तो तुझे साफ़ किया था. [sighs] फिर से गंदा हो गया. तू बस एक मिनट रुक जा.
45	RADIO	[calmly] दोपहर तक मौसम साफ़ रहेगा, खेतों में काम का अच्छा दिन रहेगा...
46	PAPA	[calling out] कुकु? ये इतना शोर कैसा है? सब ठीक तो है?
47	KUKU	[nervously] हाँ पापा, सब ठीक है. हम बस थोड़ा खेल रहे हैं.
48	PAPA	[firmly] अच्छा. ज़्यादा गंदगी मत करना, मुझे अभी बहुत काम है.
49	CHEEKU	[excited] कुत्ता! कुत्ता!
50	FURIA	[urgently] मैं पहले! आ गया तू मेरे पास, कुछ नहीं हुआ.
51	CHEEKU	[giggles] फिर! फिर!
52	FURIA	[urgently] अरे, दादी के सारे कटोरे गिर गए. जल्दी इनको उठाओ, कोई सुन लेगा.
53	VESPER	[dreamily] देखो, a butterfly. वो कितनी...
54	FURIA	[exasperated] हिंदी में, वैस्पर! और गेट पर ध्यान दे!
55	VESPER	[dreamily] वो तितली कितनी सफ़ेद है.
56	PAPA	[warmly] ये कटोरे बाद में सीधे रख देना, बेटा. मैं खेत जा रहा हूँ.
57	KUKU	[relieved] हाँ पापा, मैं सब रख दूँगा. [worried] पापा शायद ठीक ही कहते थे. कितना काम है ये सब.
58	VESPER	[softly] देख, वो तेरे ऊपर ही सो गया है.
59	KUKU	[whispers] [tenderly] कालू मेरा है.
72	KUKU	[nervously] पापा, मैंने आपको बताया नहीं था, ये कालू, मैंने इसको कुएँ के पास से निकाला था, और छुपाया भी, और दादी के कटोरे भी इसी ने गिराए थे, सब मेरी गलती है, मैं...
73	PAPA	[gently] बस, बेटा, रुको. इतना हाँफो मत, कुछ नहीं हुआ है. मैं कुएँ पर ही था. मैंने सब देख लिया, तुम्हारी वो क भी देख ली. [warmly] सुबह मैंने ना कहा था. वो ना अब नहीं है. [tenderly] कालू तुम्हारा है, कुकु.
74	KUKU	[hopefully] सच में, पापा? कालू अब सच में मेरा हो गया?
75	PAPA	[warmly] हाँ, वो तुम्हारा ही है. अब अपने कुत्ते का ध्यान रखना, ये तुम्हारा काम है.
76	PAPA	[whispers] [proudly] मैंने देखा, कुकु. तुमने कैसे उठाया उसको ऊपर.
77	FURIA	[proudly] हो गया, कालू का कटोरा भर दिया और कंबल भी बिछा दिया. मैं पहले! सबसे तेज़ मैंने ही किया!
78	VESPER	[dreamily] देखो, a banana. कालू के लिए.
79	FURIA	[giggles] हिंदी में, वैस्पर!
80	VESPER	[dreamily] कालू के लिए केला लाया हूँ मैं.
81	KUKU	[laughs] कुत्ता केला नहीं खाता!
82	FURIA	[giggles] वैस्पर, कुत्ता केला नहीं खाता!
83	PAPA	[with a warm chuckle] कुत्ता केला नहीं खाता, बेटा.
84	VESPER	[casually] अच्छा... तो फिर केला मैं ही खा लेता हूँ.
85	RADIO	[wistfully] रात हो चली है, तारे निकल आए, सब अपने अपने घर में...
86	KUKU	[tenderly] अब तू हमेशा यहीं मेरे पास रहेगा, कालू.
87	DADI MAYA	[warmly] तो बताओ ज़रा, आज पूरे दिन में क से क्या क्या मिला तुम्हें? क से?
88	KUKU	[proudly] कुत्ता! क से कुत्ता, ये मेरा कालू है.
89	FURIA	[excited] और काला! कालू तो बिलकुल काला है, मैंने पहले बोला!
90	DADI MAYA	[warmly] शाबाश. और क से और क्या मिला?
91	KUKU	[happily] कान! उसके कान बहुत नरम हैं और नीचे को लटके हुए हैं.
92	FURIA	[excited] कीचड़! उसी कीचड़ में तो वो फँस गया था.
93	DADI MAYA	[warmly] हाँ, और वो जगह जहाँ से तुमने उसको निकाला था?
94	KUKU	[brightly] कुआँ! वो पुराना वाला कुआँ था.
95	FURIA	[proudly] और कटोरा भी, मैंने उसका कटोरा भरा था, और कंबल भी बिछाया.
96	DADI MAYA	[warmly] और वो चीज़ जो कालू ने खाने से मना कर दिया?
97	KUKU	[laughs] केला! कुत्ता केला नहीं खाता!
98	DADI MAYA	[warmly] और याद है, हर अक्षर के सिर पर क्या होता है?
99	FURIA	[excited] टोपी!
100	DADI MAYA	[warmly] हाँ, हिंदी का हर अक्षर टोपी पहनता है.
101	FURIA	[excited] रुको, मैं आज का अक्षर अपनी किताब में लिखूँगी. मैं पहले! [proudly] देखो, हो गया! मैंने सबसे पहले लिखा, क!
102	KUKU	[warmly] अच्छा लिखा तूने, ऊपर टोपी वाला हिस्सा बिलकुल सही बनाया.
103	DADI MAYA	[gently] चलो अब, सब सो जाओ. शुभ रात्रि कुकु, शुभ रात्रि फूरिया. [softly] और वैस्पर कहाँ चला गया? वैस्पर?
104	KUKU	[whispers] [tenderly] वो तो कब का कालू के साथ कंबल पर सो गया, दादी.
105	RADIO	[softly] अक्षर घाटी सो गई है, तारे जले हैं ऊपर...
106	DADI MAYA	[tenderly] शुभ रात्रि, वैस्पर.
